number,mp_id,formula,host_cation,final_energy_per_atom,formation_energy_per_atom,band_gap,icsd_label,icsd_num,predict_emit,wave
1,mp-641754,Ca54Si18O90,Ca,-7.057127332,-3.4186 ,3.9851,TRUE,"[4331, 162744]",1.8775 ,660.4571 
2,mp-1202810,Ca8V4P12O44,V,-7.414535066,-3.0319 ,2.2803,TRUE,[165407],1.8782 ,660.1959 
3,mp-4759,Zr4Te12O32,Zr,-6.425026658,-2.0863 ,3.6731,TRUE,"[409713, 9079]",1.8785 ,660.1179 
4,mp-1197988,Rb8Zr1Mo6O24,Zr,-6.513222584,-2.2948 ,3.8611,TRUE,[165116],1.8788 ,660.0150 
5,mp-642350,K2La2P8O24,La,-7.250572279,-2.8711 ,4.3579,TRUE,[161016],1.8788 ,660.0063 
6,mp-640836,Ca32Ta32O112,Ta,-8.716943413,-3.4848 ,3.4624,TRUE,[154319],1.8789 ,659.9615 
7,mp-25983,Li12Mo12P24O96,Mo,-7.046995826,-2.5081 ,2.986,TRUE,[81074],1.8789 ,659.9495 
8,mp-5116,K12Ge4O14,K,-5.082933783,-2.0339 ,3.0827,TRUE,"[60651, 73550]",1.8789 ,659.9462 
9,mp-557473,K20Li4Ge8O28,K,-5.196212782,-2.0940 ,3.1514,TRUE,[73205],1.8790 ,659.9259 
10,mp-1196892,Rb4Er4P8O28,Er,-7.355407665,-3.1553 ,5.0563,TRUE,[421379],1.8795 ,659.7576 
11,mp-18352,Hf4Te12O32,Hf,-6.602473919,-2.1462 ,3.8435,TRUE,[9078],1.8798 ,659.6296 
12,mp-554508,K4Y4P8O28,Y,-7.517071543,-3.1325 ,5.0821,TRUE,[160190],1.8800 ,659.5609 
,,,,,,,,,,
number,mp_id,formula,host_cation,final_energy_per_atom,formation_energy_per_atom,band_gap,icsd_label,icsd_num,predict_emit,wave
1,mp-17264,Ba4V4As4O24,V,-6.848389309,-2.4564 ,2.6837 ,TRUE,[83629],1.8551 ,668.4323 
2,mp-6661,Ba2Ti2Si6O18,Ba,-7.988083534,-3.3853 ,3.0661 ,TRUE,"[290225, 290227, 290229, 290230, 290226, 290228, 36185]",1.8552 ,668.3830 
3,mp-555904,Na4Sm4Ge4O16,Sm,-6.790894774,-2.8326 ,3.6160 ,TRUE,"[248686, 16182]",1.8555 ,668.3026 
4,mp-15983,Ba4Na2Nb10O30,Nb,-8.319949735,-3.1208 ,2.4751 ,TRUE,"[81441, 53267]",1.8559 ,668.1340 
5,mp-504840,K24W6O30,K,-5.513943039,-2.0873 ,3.2324 ,TRUE,[33294],1.8560 ,668.1005 
6,mp-556281,Sc6P18O54,Sc,-7.650863649,-2.9646 ,5.0600 ,TRUE,"[420120, 20430]",1.8561 ,668.0772 
7,mp-19462,K4P8W4O32,W,-7.102966534,-2.5576 ,3.5193 ,TRUE,[93527],1.8567 ,667.8485 
8,mp-1190427,La4Sb4O16,La,-7.201548919,-2.8501 ,3.0090 ,TRUE,[194550],1.8568 ,667.8032 
9,mp-554863,K4Nb20O52,Nb,-8.633292845,-3.0012 ,2.3571 ,TRUE,[170693],1.8570 ,667.7448 
